Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S59693976,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128972,BPI-017-CR,10.1112232,-84.5571165,2019-09-10,07:23 AM,eBird - Stationary Count,10,1,,,1,,3
S73642505,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128972,BPI-017-CR,10.1112232,-84.5571165,2020-08-22,06:57 AM,eBird - Stationary Count,10,1,,,1,,,BPI-017-CR
S59641939,Gray-headed Chachalaca,Ortalis cinereiceps,751,10,CR-A,,L11129003,BPI-018-CR,10.1200664,-84.5438036,2019-09-09,08:26 AM,eBird - Stationary Count,12,1,,,1,,10
S59643130,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129003,BPI-018-CR,10.1200664,-84.5438036,2019-09-09,08:34 AM,eBird - Stationary Count,10,1,,,1,,5,BPI-18
S72569560,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129003,BPI-018-CR,10.1200664,-84.5438036,2020-08-19,06:17 AM,eBird - Stationary Count,10,1,,,2
S72649922,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129003,BPI-018-CR,10.1200664,-84.5438036,2020-08-21,09:54 AM,eBird - Stationary Count,10,1,,,2
S73639010,Gray-headed Chachalaca,Ortalis cinereiceps,751,4,CR-A,,L11129003,BPI-018-CR,10.1200664,-84.5438036,2020-08-21,10:04 AM,eBird - Stationary Count,10,1,,,1,,4
S72570014,Gray-headed Chachalaca,Ortalis cinereiceps,751,6,CR-A,,L11129012,BPI-019-CR,10.1207781,-84.5437481,2020-08-19,06:32 AM,eBird - Stationary Count,10,1,,,2,,6
S73639323,Gray-headed Chachalaca,Ortalis cinereiceps,751,6,CR-A,,L11129026,BPI-020-CR,10.1210005,-84.5445365,2020-08-19,06:34 AM,eBird - Stationary Count,10,1,,,1,,6
S64904227,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129452,BPI-022-CR,10.1185689,-84.4345301,2020-02-22,07:29 AM,eBird - Stationary Count,10,1,,,1,,,bpi22
S64261769,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129488,BPI-024-CR,10.1348632,-84.4293753,2020-02-08,06:33 AM,eBird - Stationary Count,11,1,,,1,,3,bpi24
S64603421,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129494,BPI-025-CR,10.1358659,-84.4298265,2020-02-08,06:02 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-25
S63840848,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129502,BPI-026-CR,10.1357582,-84.4288372,2020-01-27,08:37 AM,eBird - Stationary Count,10,1,,,1,,3,bpi 26
S64603368,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129502,BPI-026-CR,10.1357582,-84.4288372,2020-02-08,05:49 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-26
S64261753,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129502,BPI-026-CR,10.1357582,-84.4288372,2020-02-08,06:00 AM,eBird - Stationary Count,10,1,,,1,,5,bpi26
S59880792,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129511,BPI-027-CR,10.1053933,-84.5506657,2019-09-17,06:07 AM,eBird - Stationary Count,11,1,,,1,,5,BPI-27
S59912358,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129533,BPI-028-CR,10.1058837,-84.5510685,2019-09-18,08:58 AM,eBird - Stationary Count,10,1,,,1,,2
S59880900,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2019-09-17,06:47 AM,eBird - Stationary Count,11,1,,,1,,,bpi-29
S59891992,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2019-09-17,07:03 AM,eBird - Stationary Count,11,1,,,1,,1
S65245415,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2020-02-28,07:56 AM,eBird - Stationary Count,10,1,,,1,,,bpi29
S65392852,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2020-02-29,06:58 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-29
S59912369,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2019-09-18,09:32 AM,eBird - Stationary Count,10,1,,,1
S65245389,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-02-28,07:12 AM,eBird - Stationary Count,10,1,,,1,,,bpi30
S65257715,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-02-28,07:21 AM,eBird - Stationary Count,10,1,,,1,,,BPI-30
S71754803,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-07-23,05:33 AM,eBird - Stationary Count,10,1,,,1,,2,bpi30
